Date/Time,Document Title,Document Url,respuesta_Adjudicatario,respuesta_Importe total,respuesta_Tipo de gasto
2014-02-21 08:45,DGC 1235 2012,http://www.documentcloud.org/documents/956435-dgc-1235-2012.html,Honorable Senado de la Nación,2879.2,Viáticos y gastos
2014-02-21 08:47,DGC 948 2012,http://www.documentcloud.org/documents/955999-dgc-948-2012.html,Honorable Senado de la Nación,7198.0,Viáticos y gastos
2014-02-21 08:49,DGC 635 2012,http://www.documentcloud.org/documents/955203-dgc-635-2012.html,CEAMSE- Coordinación Ecológica Area Metropolitana S.E.,561.0,Servicio de peaje y telepeaje
2014-02-21 08:51,DGC 1082 2012,http://www.documentcloud.org/documents/956215-dgc-1082-2012.html,Honorable Senado de la Nación,2879.2,Viáticos y gastos
2014-02-21 08:52,DGC 1723 2012,http://www.documentcloud.org/documents/957130-dgc-1723-2012.html,Maria Martin Javier,6949.01,Gastos de protocolo y ceremonial
2014-02-21 08:55,DGC 1872 2012,http://www.documentcloud.org/documents/957366-dgc-1872-2012.html,Honorable Senado de la Nación,11511.67,Viáticos y gastos
2014-02-21 08:57,DGC 1254 2012,http://www.documentcloud.org/documents/956461-dgc-1254-2012.html,Honorable Senado de la Nación,7198.0,Viáticos y gastos
2014-02-21 09:00,DGC 374 2012,http://www.documentcloud.org/documents/954604-dgc-374-2012.html,Honorable Senado de la Nación,28848.66,Caja chica
2014-02-21 09:02,DGC 932 2012,http://www.documentcloud.org/documents/955972-dgc-932-2012.html,Autopistas al Sur - AECSA,550.0,Servicio de peaje y telepeaje
2014-02-21 09:06,DGC 574 2012,http://www.documentcloud.org/documents/955027-dgc-574-2012.html,Alfamédica Medicina Integral S.R.L.,29386.0,Servicio médico y sanitarios
2014-02-21 09:08,DGC 510 2012,http://www.documentcloud.org/documents/954884-dgc-510-2012.html,Empresa General Urquiza S.R.L.,33329.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-21 09:09,DGC 558 2012,http://www.documentcloud.org/documents/954980-dgc-558-2012.html,Empresa Argentina de servicios públicos S.A. de Transporte Automotor,8867.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-21 09:51,DGC 1022 2012,http://www.documentcloud.org/documents/956116-dgc-1022-2012.html,Honorable Senado de la Nación,4318.8,Viáticos y gastos
2014-02-21 09:57,DGC 420 2012,http://www.documentcloud.org/documents/954717-dgc-420-2012.html,Honorable Senado de la Nación,39365.77,Viáticos y gastos
2014-02-21 09:58,DGC 502 2012,http://www.documentcloud.org/documents/954874-dgc-502-2012.html,Honorable Senado de la Nación,16105.83,Viáticos y gastos
2014-02-21 10:00,DGC 2142 2012,http://www.documentcloud.org/documents/957781-dgc-2142-2012.html,Honorable Senado de la Nación,4627.25,Viáticos y gastos
2014-02-21 10:13,DGC 642 2012,http://www.documentcloud.org/documents/955222-dgc-642-2012.html,Honorable Senado de la Nación,4318.8,Viáticos y gastos
2014-02-21 10:14,DGC 1284 2012,http://www.documentcloud.org/documents/956504-dgc-1284-2012.html,Honorable Senado de la Nación,28575.57,Caja chica
2014-02-21 10:14,DGC 1087 2012,http://www.documentcloud.org/documents/956224-dgc-1087-2012.html,Honorable Senado de la Nación,394.46,Gastos de protocolo y ceremonial
2014-02-21 10:18,DGC 1846 2012,http://www.documentcloud.org/documents/957322-dgc-1846-2012.html,Vía Bariloche S.A.,39274.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-21 10:21,DGC 248 2012,http://www.documentcloud.org/documents/954347-dgc-248-2012.html,Honorable Senado de la Nación,5758.4,Viáticos y gastos
2014-02-21 10:27,DGC 201 2012,http://www.documentcloud.org/documents/954206-dgc-201-2012.html,Sol S.A. Líneas Aéreas,2678.87,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-21 10:28,DGC 2135 2012,http://www.documentcloud.org/documents/957771-dgc-2135-2012.html,Coviares S.A. - Au La Plata,442.90,Servicio de peaje y telepeaje
2014-02-21 10:29,DGC 582 2012,http://www.documentcloud.org/documents/955048-dgc-582-2012.html,Autotransportes Andesmar S.A.,14978.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-21 10:35,DGC 1194 2012,http://www.documentcloud.org/documents/956378-dgc-1194-2012.html,Expreso Singer Sociedad Anónima de Transporte ,3078.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-21 10:39,DGC 1121 2012,http://www.documentcloud.org/documents/956275-dgc-1121-2012.html,Honorable Senado de la Nación,10175.2,Viáticos y gastos
2014-02-21 10:44,DGC 810 2012,http://www.documentcloud.org/documents/955653-dgc-810-2012.html,Honorable Senado de la Nación,4318.8,Viáticos y gastos
2014-02-21 10:46,DGC 977 2012,http://www.documentcloud.org/documents/956044-dgc-977-2012.html,Empresa Rio Uruguay S.R.L.,12436.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-21 10:47,DGC 1698 2012,http://www.documentcloud.org/documents/957095-dgc-1698-2012.html,Honorable Senado de la Nación,1850.9,Viáticos y gastos
2014-02-21 10:54,DGC 1366 2012,http://www.documentcloud.org/documents/956621-dgc-1366-2012.html,Honorable Senado de la Nación,10196.79,Viáticos y gastos
2014-02-21 11:28,DGC 922 2012,http://www.documentcloud.org/documents/955954-dgc-922-2012.html,Honorable Senado de la Nación,25567.49,Caja chica
2014-02-21 11:33,DGC 1784 2012,http://www.documentcloud.org/documents/957221-dgc-1784-2012.html,Honorable Senado de la Nación,28755.16,Caja chica
2014-02-21 11:53,DGC 93 2012,http://www.documentcloud.org/documents/953871-dgc-93-2012.html,CATA Internacional - Cooperativa Andina de Transporte Automotor LTDA,18440.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-24 12:21,DGC 144 2012,http://www.documentcloud.org/documents/954027-dgc-144-2012.html,Honorable Senado de la Nación,2879.2,Servicio de custodia
2014-03-06 11:13,DGC 1529 2012,http://www.documentcloud.org/documents/956854-dgc-1529-2012.html,Buenos Aires Eventos S.R.L.,23100.0,Servicio de transporte y/o traslado
2014-03-06 12:42,DGC 609 2012,http://www.documentcloud.org/documents/955128-dgc-609-2012.html,Honorable Senado de la Nación,5758.4,Viáticos y gastos
2014-03-06 15:08,DGC 1160 2012,http://www.documentcloud.org/documents/956331-dgc-1160-2012.html,Honorable Senado de la Nación,24370.72,Caja chica
2014-03-06 15:24,DGC 82 2012,http://www.documentcloud.org/documents/953840-dgc-82-2012.html,Honorable Senado de la Nación,1439.6,Viáticos y gastos
2014-03-06 15:29,DGC 177 2012,http://www.documentcloud.org/documents/954136-dgc-177-2012.html,Celino Del Valle,26087.6,Subsidio por fallecimiento
2014-03-07 06:41,DGC 1180 2012,http://www.documentcloud.org/documents/956358-dgc-1180-2012.html,Empresa Silvia de Spessot Osvaldo Antonio,12278.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-07 06:46,DGC 1686 2012,http://www.documentcloud.org/documents/957074-dgc-1686-2012.html,Honorable Senado de la Nación,29170.87,Caja chica
2014-03-07 06:48,DGC 75 2012,http://www.documentcloud.org/documents/953821-dgc-75-2012.html,Honorable Senado de la Nación,2879.2,Viáticos y gastos
2014-03-07 06:49,DGC 1407 2012,http://www.documentcloud.org/documents/956679-dgc-1407-2012.html,Honorable Senado de la Nación,29250.62,Caja chica
2014-03-07 09:38,DGC 1325 2012,http://www.documentcloud.org/documents/956565-dgc-1325-2012.html,Servicio de comedor - Honorable Senado de la Nación ,24682.0,Gastos de protocolo y ceremonial
2014-03-07 09:40,DGC 2013 2012,http://www.documentcloud.org/documents/957595-dgc-2013-2012.html,Honorable Senado de la Nación,29386.17,Caja chica
2014-03-07 09:41,DGC 984 2012,http://www.documentcloud.org/documents/956055-dgc-984-2012.html,Honorable Senado de la Nación,4318.8,Viáticos y gastos
2014-03-07 09:42,DGC 1656 2012,http://www.documentcloud.org/documents/957038-dgc-1656-2012.html,Honorable Senado de la Nación,1850.9,Viáticos y gastos
2014-03-07 10:43,DGC 548 2012,http://www.documentcloud.org/documents/954946-dgc-548-2012.html,Rosenberg Nestor Adrian y Rosenberg Gustavo Ariel SH,5788.42,Compra de materiales
2014-03-07 11:37,DGC 357 2012,http://www.documentcloud.org/documents/954581-dgc-357-2012.html,,,
2014-03-07 11:40,DGC 2041 2012,http://www.documentcloud.org/documents/957641-dgc-2041-2012.html,,,
2014-03-07 11:43,DGC 34 2012,http://www.documentcloud.org/documents/953701-dgc-34-2012.html,Empresa Rio Uruguay S.R.L.,22409.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-07 13:17,DGC 1419 2012,http://www.documentcloud.org/documents/956695-dgc-1419-2012.html,Honorable Senado de la Nación,29393.73,Caja chica
2014-03-07 14:57,DGC 1024 2012,http://www.documentcloud.org/documents/956119-dgc-1024-2012.html,Honorable Senado de la Nación,10068.25,Viáticos y gastos
