Foto,Diputado,Distrito,Inicia mandato,Finaliza mandato,Bloque
,"FIAD, MARIO RAYMUNDO",JUJUY,10/12/2013,9/12/2017,UCR
,"FRANCIONI, FABIAN MARCELO",CORDOBA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GAGLIARDI, JOSUE",RIO NEGRO,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GAILLARD, ANA CAROLINA",ENTRE RIOS,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"GALLARDO, MIRIAM GRACIELA",TUCUMAN,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"GARCIA, MARIA TERESA",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"GARCIA, ANDREA FABIANA",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GARRIDO, MANUEL",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,UCR
,"GDANSKY, CARLOS ENRIQUE",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GERVASONI, LAUTARO",ENTRE RIOS,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"GIACCONE, CLAUDIA ALEJANDRA",SANTA FE,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GIACOMINO, DANIEL OSCAR",CORDOBA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GIANNETTASIO, GRACIELA MARIA",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GILL, MARTIN RODRIGO",CORDOBA,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"GIMENEZ, PATRICIA VIVIANA",MENDOZA,10/12/2013,9/12/2017,UCR
,"GIUBERGIA, MIGUEL ANGEL",JUJUY,10/12/2011,9/12/2015,UCR
,"GIUSTOZZI, RUBEN DARIO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"GOMEZ BULL, MAURICIO RICARDO",SANTA CRUZ,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"GONZALEZ, JOSEFINA VICTORIA",SANTA FE,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"GONZALEZ, JUAN DANTE",MENDOZA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GONZALEZ, GLADYS ESTHER",BUENOS AIRES,10/12/2013,9/12/2017,UNION PRO
,"GONZALEZ, VERONICA",TIERRA DEL FUEGO,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GRANADOS, DULCE",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"GRIBAUDO, CHRISTIAN ALEJANDRO",BUENOS AIRES,10/12/2013,9/12/2017,UNION PRO
